label,component_1,component_2
solver_full_r1,0.6440473551232756,-0.18273047218477922
solver_full_r2,0.5952478769432936,-0.36641425670590794
solver_full_r3,0.590587633359273,-0.34118300460683904
solver_full_r4,0.5570767287130861,0.47342369015265107
solver_full_r5,0.5488560247822322,0.48965763359432746
solver_rank1_r1,0.6689172958865285,-0.17385205029092662
solver_rank1_r2,0.6243856063083628,-0.35194454857647905
solver_rank1_r3,0.6173701972750899,-0.3299770807632594
solver_rank1_r4,0.5759766945855961,0.46802567256441585
solver_rank1_r5,0.5828217265303505,0.47183531914616794
