delta_id,solver_full_r1,solver_full_r2,solver_full_r3,solver_full_r4,solver_full_r5
solver_full_r1,1.0,0.24362925129790605,0.23858378927657342,0.20754602110435427,0.2118655269244556
solver_full_r2,0.24362925129790605,0.9999999999999998,0.21836727953325863,0.19562871203308752,0.17771900063879137
solver_full_r3,0.23858378927657342,0.21836727953325863,1.0,0.19137955108387655,0.18512441521906708
solver_full_r4,0.20754602110435427,0.19562871203308752,0.19137955108387655,1.0,0.18136769817161397
solver_full_r5,0.2118655269244556,0.17771900063879137,0.18512441521906708,0.18136769817161397,1.0
