delta_id,solver_full_r1,solver_full_r2,solver_full_r3,solver_full_r4,solver_full_r5
solver_rank1_r1,0.8658710469254915,0.2553858239510854,0.2543682231780001,0.22154008150580148,0.22811388324313048
solver_rank1_r2,0.2632484764548411,0.8374008146379781,0.23206164248403757,0.21110575289126093,0.19382873818001195
solver_rank1_r3,0.26006070446594937,0.22864893729233185,0.8262842925095726,0.2028386343735031,0.19964881575203372
solver_rank1_r4,0.22142453275328022,0.20336975802053586,0.19550229729858273,0.8274695414412332,0.19072404182443453
solver_rank1_r5,0.23595346994304192,0.19695443048536998,0.20131688819913782,0.19674974742859888,0.82071234843812
