model,Avg7,MATH,GSM8K,AMC,Minerva,Olympiad,AIME24,AIME25
Qwen3-4B-Base,46.64,74.00,89.92,48.36,49.63,41.04,12.50,11.04
Rank1 V1,49.84,77.20,92.12,56.88,58.46,43.70,12.40,8.12
Rank1 V2,50.05,77.40,92.19,56.17,60.66,43.85,14.37,5.73
Rank1 V3,49.80,78.60,92.27,56.48,61.03,44.00,12.29,3.96
Rank1 V4,49.12,77.20,91.58,54.84,61.03,42.81,11.46,4.90
Rank1 V5,48.72,76.20,91.96,50.16,62.13,41.63,10.52,8.44
