angle_degrees,cosine,delta_norm,family,from_round,history_angle_degrees,history_cosine,history_norm,metric,orthogonal_norm,orthogonal_ratio,parallel_norm,parallel_signed,round,to_round
89.14816764709019,0.014866731538704478,,questioner_full,1,,,,adjacent,,,,,,2
88.38802079766964,0.028130633118413153,,questioner_full,2,,,,adjacent,,,,,,3
87.94349834438167,0.03588501876694785,,questioner_full,3,,,,adjacent,,,,,,4
88.67820180746334,0.023067684228102462,,questioner_full,4,,,,adjacent,,,,,,5
73.5404234177318,0.28333880591192306,,solver_rank1,1,,,,adjacent,,,,,,2
75.43351476133066,0.2515032605108866,,solver_rank1,2,,,,adjacent,,,,,,3
77.51080486769757,0.21625549968527208,,solver_rank1,3,,,,adjacent,,,,,,4
77.5082727340082,0.216298647771203,,solver_rank1,4,,,,adjacent,,,,,,5
75.89915879061897,0.24362925129790605,,solver_full,1,,,,adjacent,,,,,,2
77.38684645078312,0.21836727953325863,,solver_full,2,,,,adjacent,,,,,,3
78.96669582576753,0.19137955108387655,,solver_full,3,,,,adjacent,,,,,,4
79.55056550715454,0.18136769817161397,,solver_full,4,,,,adjacent,,,,,,5
,,0.1577134428073029,questioner_full,,0.0,0.0,0.0,historical,0.1577134428073029,1.0,0.0,0.0,1,
,,1.020540147720762,questioner_full,,89.14816764709019,0.014866731538704478,0.1577134428073029,historical,1.020427361746403,0.9998894840397892,0.01517209640063438,0.01517209640063438,2,
,,1.036254107006054,questioner_full,,88.27347411416872,0.030129001165136754,1.0349692798667716,historical,1.0357836669104499,0.9995460185948374,0.03122130119736315,0.03122130119736315,3,
,,1.0451919997579564,questioner_full,,87.44362024956341,0.04460244180371843,1.4864757514969207,historical,1.0441518412950823,0.9990048158968735,0.04661811534291634,0.04661811534291634,4,
,,1.0470901813942997,questioner_full,,88.07188480484604,0.03364560732188244,1.8548934934981671,historical,1.0464973464486413,0.9994338262776288,0.035229985073791256,0.035229985073791256,5,
,,0.2309228863833662,solver_rank1,,0.0,0.0,0.0,historical,0.2309228863833662,1.0,0.0,0.0,1,
,,0.23626443540456196,solver_rank1,,73.5404234177318,0.28333880591192306,0.2309228863833662,historical,0.2265822893602891,0.9590198752186555,0.06694288300698327,0.06694288300698327,2,
,,0.227261740932682,solver_rank1,,70.50771788654124,0.33367988001063975,0.37425065187151596,historical,0.2142365631372685,0.9426864471689859,0.07583267044542642,0.07583267044542642,3,
,,0.21965974299328433,solver_rank1,,71.40673050844839,0.31884797318536545,0.49846996099336366,historical,0.20819479413492484,0.9478058714713601,0.07003806384382699,0.07003806384382699,4,
,,0.22219235229042167,solver_rank1,,69.49930549569845,0.35021873499958583,0.6054307942359453,historical,0.2081204538324946,0.9366679441804817,0.0778159245457338,0.0778159245457338,5,
,,0.25133798914399563,solver_full,,0.0,0.0,0.0,historical,0.25133798914399563,1.0,0.0,0.0,1,
,,0.26240074442335365,solver_full,,75.89915879061897,0.24362925129790605,0.25133798914399563,historical,0.2544942002434268,0.9698684384554543,0.06392849690387484,0.06392849690387484,2,
,,0.25494264102356284,solver_full,,73.17654461184462,0.289423674187829,0.4051669472976708,historical,0.24403137522324597,0.9572010952875145,0.0737864358721883,0.0737864358721883,3,
,,0.24713964698558333,solver_full,,73.54235659700737,0.28330644809074346,0.5375385152184005,historical,0.2370141959211118,0.9590294346213816,0.07001625556988583,0.07001625556988583,4,
,,0.2488939748198785,solver_full,,72.8867116692442,0.2942619897354782,0.6521491612934408,historical,0.2378741427514447,0.9557247937544141,0.07324003626366944,0.07324003626366944,5,
