round,rank1_norm,full_norm,norm_ratio,cosine,angle_degrees,relative_reconstruction_error,rank1_parallel_signed,rank1_orthogonal_norm,rank1_orthogonal_ratio
1,0.2309228863833662,0.25133798914399563,0.9187743053481131,0.8658710469254915,30.017683266966333,0.503056741181235,0.19994944139182164,0.11552315933492965,0.5002672586689572
2,0.23626443540456196,0.26240074442335365,0.9003954463763878,0.8374008146379781,33.1333386782435,0.550207414773291,0.19784803067776213,0.1291396151224237,0.5465893116807633
3,0.227261740932682,0.25494264102356284,0.8914230276279186,0.8262842925095726,34.28108431574801,0.5670073392512422,0.18778280682105492,0.12800592312139247,0.5632532893396675
4,0.21965974299328433,0.24713964698558333,0.888808192746581,0.8274695414412332,34.160330552679184,0.5648509432859206,0.18176174680775212,0.12334127488099973,0.5615106036283155
5,0.22219235229042167,0.2488939748198785,0.8927188874347783,0.82071234843812,34.843833736318615,0.5758612530631516,0.18235600725326206,0.12694773741583223,0.5713416150790926
