delta_id,family,round,start,end,parameter_count,l2_norm,rms,start_l2_norm,relative_l2
questioner_full_r1,questioner_full,1,base,q1,4022468096,0.1577134428073029,2.4866943533087973e-06,1619.9276114473312,9.735832742945418e-05
questioner_full_r2,questioner_full,2,q1,q2,4022468096,1.020540147720762,1.6091027990320645e-05,1619.9275994201216,0.0006299912095368215
questioner_full_r3,questioner_full,3,q2,q3,4022468096,1.036254107006054,1.6338792626786056e-05,1619.9278006816483,0.0006396915384562259
questioner_full_r4,questioner_full,4,q3,q4,4022468096,1.0451919997579564,1.6479717883638073e-05,1619.9280662724072,0.0006452088963203363
questioner_full_r5,questioner_full,5,q4,q5,4022468096,1.0470901813942997,1.6509646832449474e-05,1619.9283329268917,0.000646380559010542
solver_rank1_r1,solver_rank1,1,base,r1,4022468096,0.2309228863833662,3.6409999515443706e-06,1619.9276114473312,0.00014255136140129567
solver_rank1_r2,solver_rank1,2,base,r2,4022468096,0.23626443540456196,3.725221052501242e-06,1619.9276114473312,0.00014584876122549113
solver_rank1_r3,solver_rank1,3,base,r3,4022468096,0.227261740932682,3.583274056041714e-06,1619.9276114473312,0.00014029129408420544
solver_rank1_r4,solver_rank1,4,base,r4,4022468096,0.21965974299328433,3.4634120771686614e-06,1619.9276114473312,0.0001355984930690998
solver_rank1_r5,solver_rank1,5,base,r5,4022468096,0.22219235229042167,3.5033441535105846e-06,1619.9276114473312,0.00013716190200122768
solver_full_r1,solver_full,1,base,a1,4022468096,0.25133798914399563,3.9628883071178585e-06,1619.9276114473312,0.00015515383981845748
solver_full_r2,solver_full,2,base,a2,4022468096,0.26240074442335365,4.1373166284806005e-06,1619.9276114473312,0.00016198300625847755
solver_full_r3,solver_full,3,base,a3,4022468096,0.25494264102356284,4.019723458992108e-06,1619.9276114473312,0.00015737903300245821
solver_full_r4,solver_full,4,base,a4,4022468096,0.24713964698558333,3.896692340859371e-06,1619.9276114473312,0.00015256215477725906
solver_full_r5,solver_full,5,base,a5,4022468096,0.2488939748198785,3.924353122602145e-06,1619.9276114473312,0.00015364512158509548
